RISE LIMIT,SINK LIMIT,COOL-OFF SPAN,GRAND PERCENT CHANGE
100,23,3,82
100,23,5,82
100,23,8,81
100,23,14,80
100,23,23,80
100,23,37,79
100,23,61,76
100,23,100,74
100,37,1,80
100,37,2,80
100,37,3,80
100,37,5,80
100,37,8,80
100,37,14,80
100,37,23,80
100,37,37,79
100,37,61,77
100,37,100,75
100,61,1,79
100,61,2,79
100,61,3,79
100,61,5,80
100,61,8,79
100,61,14,79
100,61,23,79
100,61,37,78
100,61,61,76
100,61,100,75
100,100,1,78
100,100,2,78
100,100,3,78
100,100,5,78
100,100,8,78
100,100,14,77
100,100,23,77
100,100,37,77
100,100,61,76
100,100,100,75
-1,-1,-1,98
